{'light': 'green', 'oncoming': None, 'right': None, 'left': 'left'},0,35,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': 'left', 'left': None},20,0,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': 'left', 'left': 'right'},19,1,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': 'left', 'left': None},18,2,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},17,3,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},16,4,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},15,5,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},14,6,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': 'forward', 'left': None},13,7,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None},12,8,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},11,9,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},10,10,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},9,11,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},8,12,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},7,13,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},6,14,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},5,15,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},4,16,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},3,17,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},2,18,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},1,19,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},0,20,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': 'forward'},25,0,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},24,1,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},23,2,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},22,3,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},21,4,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,5,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},19,6,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,7,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},17,8,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},16,9,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},15,10,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},14,11,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},13,12,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},12,13,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},11,14,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},10,15,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': 'right'},9,16,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},8,17,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},7,18,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},6,19,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},5,20,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': 'right', 'left': None},4,21,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},3,22,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},2,23,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},1,24,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},0,25,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,0,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},19,1,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,2,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},17,3,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},16,4,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},15,5,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},14,6,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},13,7,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},12,8,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},11,9,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},10,10,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},9,11,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},8,12,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},7,13,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},6,14,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},5,15,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},4,16,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},3,17,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},2,18,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},1,19,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},0,20,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,0,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},19,1,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,2,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},17,3,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},16,4,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},15,5,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},14,6,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},13,7,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},12,8,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},11,9,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},10,10,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},9,11,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},8,12,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},7,13,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},6,14,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},5,15,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},4,16,set(['green', 'left']),False
