{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-86,106,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-87,107,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-88,108,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-89,109,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-90,110,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-91,111,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-92,112,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-93,113,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-94,114,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-95,115,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-96,116,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-97,117,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-98,118,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-99,119,set([None, 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-100,120,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,0,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},24,1,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},23,2,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},22,3,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},21,4,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,5,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},19,6,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,7,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},17,8,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},16,9,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},15,10,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},14,11,set([None, 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},13,12,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},12,13,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},11,14,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},10,15,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},9,16,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},8,17,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},7,18,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},6,19,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},5,20,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},4,21,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},3,22,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},2,23,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},1,24,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},0,25,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-1,26,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-2,27,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-3,28,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-4,29,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-5,30,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-6,31,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-7,32,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-8,33,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-9,34,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-10,35,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': 'right', 'left': None},40,0,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},39,1,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},38,2,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},37,3,set(['right', 'green']),False
{'light': 'red', 'oncoming': 'forward', 'right': None, 'left': None},36,4,set([None, 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},35,5,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},34,6,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},33,7,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},32,8,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},31,9,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},30,10,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},29,11,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},28,12,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},27,13,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},26,14,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,15,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},24,16,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},23,17,set(['forward', 'red']),False
